               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 126,             0.02576,            0.030066,           0.0030257,             0.80069,             0.72676,             0.75877,             0.46381,            0.031971,            0.025447,           0.0087306,           0.0025359,           0.0025359,           0.0025359
                 127,            0.026412,            0.030227,           0.0025808,             0.82362,             0.73009,             0.76624,             0.45441,            0.032646,            0.025638,           0.0086025,           0.0024948,           0.0024948,           0.0024948
                 128,            0.025736,            0.032951,            0.002972,             0.73587,             0.76584,             0.75748,             0.46839,            0.031493,            0.025052,           0.0081314,           0.0024552,           0.0024552,           0.0024552
                 129,            0.025974,            0.033933,           0.0025766,             0.77427,             0.74085,             0.74962,             0.46446,            0.031639,            0.025334,           0.0079798,           0.0024172,           0.0024172,           0.0024172
                 130,            0.025962,            0.034042,           0.0032684,             0.76059,             0.73732,             0.74924,              0.4671,            0.031472,            0.025513,           0.0084505,           0.0023807,           0.0023807,           0.0023807
                 131,            0.024433,            0.030082,           0.0026067,             0.75401,             0.75876,              0.7351,             0.46148,             0.03108,            0.025392,           0.0086783,           0.0023458,           0.0023458,           0.0023458
                 132,            0.025362,             0.03426,           0.0023434,             0.73347,             0.73028,             0.71721,             0.44852,            0.031284,            0.025581,            0.008783,           0.0023125,           0.0023125,           0.0023125
                 133,            0.025893,            0.032815,           0.0026278,             0.74517,             0.72994,             0.71513,              0.4403,            0.031254,            0.025362,           0.0087154,           0.0022809,           0.0022809,           0.0022809
                 134,            0.024981,            0.030321,            0.001942,             0.76916,             0.72866,             0.72746,             0.44057,            0.031493,            0.025742,           0.0086705,           0.0022509,           0.0022509,           0.0022509
                 135,             0.02483,            0.033012,           0.0024362,             0.77174,             0.72851,             0.74547,             0.46501,            0.030874,            0.025536,           0.0085736,           0.0022225,           0.0022225,           0.0022225
                 136,             0.02543,            0.033497,           0.0028698,              0.7746,             0.72629,             0.75293,             0.47731,            0.030911,            0.025567,           0.0083291,           0.0021958,           0.0021958,           0.0021958
                 137,            0.023979,            0.028712,           0.0020951,             0.78324,             0.71603,             0.74898,              0.4423,            0.032349,            0.026239,           0.0085782,           0.0021707,           0.0021707,           0.0021707
                 138,            0.025019,            0.029911,           0.0021791,             0.79426,             0.74362,             0.76077,             0.45874,            0.031805,            0.026467,           0.0084512,           0.0021473,           0.0021473,           0.0021473
                 139,             0.02647,            0.033849,           0.0026382,             0.76858,             0.77996,             0.76268,             0.45024,            0.032939,            0.026715,            0.008148,           0.0021257,           0.0021257,           0.0021257
                 140,            0.025123,             0.02867,           0.0023509,             0.81685,             0.77325,             0.77682,             0.47569,            0.031868,             0.02593,            0.007702,           0.0021057,           0.0021057,           0.0021057
                 141,            0.025728,            0.035091,           0.0022071,             0.80865,             0.77676,             0.76847,             0.48518,            0.031156,            0.025946,           0.0076213,           0.0020874,           0.0020874,           0.0020874
                 142,            0.026601,            0.036187,           0.0026034,             0.77122,             0.78003,             0.75054,              0.4687,             0.03197,            0.026452,           0.0078182,           0.0020709,           0.0020709,           0.0020709
                 143,            0.025927,            0.032817,           0.0020891,             0.71388,             0.75176,              0.7415,             0.46247,            0.031433,            0.025637,           0.0080591,            0.002056,            0.002056,            0.002056
                 144,            0.026309,            0.037714,           0.0023302,             0.73184,             0.70124,             0.73944,             0.46702,            0.031423,            0.025804,           0.0083216,           0.0020429,           0.0020429,           0.0020429
                 145,            0.024883,            0.031803,           0.0020506,             0.72677,             0.70528,             0.73933,             0.46307,            0.031486,            0.026089,           0.0082605,           0.0020315,           0.0020315,           0.0020315
                 146,            0.024746,            0.034794,           0.0022488,             0.80732,             0.65176,             0.73675,             0.44897,            0.031975,            0.026578,           0.0081452,           0.0020219,           0.0020219,           0.0020219
                 147,            0.026719,            0.038443,           0.0024172,             0.70396,              0.7307,             0.73044,             0.44985,            0.032159,            0.026452,           0.0084418,            0.002014,            0.002014,            0.002014
                 148,             0.02581,            0.034303,           0.0023443,             0.69398,             0.73028,             0.71891,             0.45815,            0.031759,            0.026519,           0.0084552,           0.0020079,           0.0020079,           0.0020079
                 149,            0.026505,            0.031591,           0.0024895,             0.72382,             0.73952,             0.74482,             0.43959,            0.033322,            0.026669,           0.0085181,           0.0020035,           0.0020035,           0.0020035
